Модель Двухколёсного Электрика,Цена (руб),Батарея Вольт (V),Ёмкость батареи (Ah),Мощность (W)
BLADE F8 Plus+,240000,72,50,3500
NIU UQi GT2,249000,48,31,1500
CityCoco Black Sea,125000,60,25,2000
Pulse X7 Pro,160000,60,20,2000
Pulse Mini-7.1,80000,48,12,1000
Pulse X1,110000,60,20,2000
CityCoCo X12 PRO NEW,180000,60,40,3000
WS-LIGHT 1200W,95000,48,15,1200
PULSE XC-1,75000,48,10,500
ALPHA CHAMP,135000,60,24,1000
Ikingi CP9 3000W,170000,72,20,3000
CityCoco X2 Pro,140000,60,30,1000
CityCoCo X7 PRO 3000W,165000,60,40,3000
CityCoCo GT X11,200000,60,50,3000
Ikingi M6 PRO,220000,72,35,4000
Ikingi M9 Pro,150000,72,20,2000
CityCoCo GT X5,130000,60,30,1200
